motor_time_fraction,motor_angle_deg,small_linear,large_linear,small_6h,large_6h,delta_small,delta_large,dsmall6h_dt,dlarge6h_dt
1.925000000000000044e-01,6.929999999999999716e+01,4.588609631696097813e-01,6.492269510610153560e-01,4.963876767108683086e-01,7.034003984879921845e-01,3.752671354125852732e-02,5.417344742697682847e-02,2.095290234898923742e+00,-2.253697728887910312e+00
1.929166666666666807e-01,6.945000000000000284e+01,4.596085161867101143e-01,6.484677020373379452e-01,4.972591943313121043e-01,7.024626080127766015e-01,3.765067814460199003e-02,5.399490597543865622e-02,2.087996335573705675e+00,-2.247698728323162864e+00
1.933333333333333570e-01,6.960000000000000853e+01,4.603560692038104474e-01,6.477084530136604235e-01,4.981276753802908464e-01,7.015273143636897579e-01,3.777160617648039898e-02,5.381886135002933447e-02,2.080714842530180686e+00,-2.241713052529990868e+00
1.937500000000000056e-01,6.975000000000000000e+01,4.611036222209107804e-01,6.469492039899830127e-01,4.989931252151696417e-01,7.005945118779752789e-01,3.788950299425886126e-02,5.364530788799226624e-02,2.073446657956825590e+00,-2.235741231860890910e+00
1.941666666666666818e-01,6.990000000000000568e+01,4.618511752380111135e-01,6.461899549663054909e-01,4.998555495684645633e-01,6.996641946735620010e-01,3.800437433045344982e-02,5.347423970725651010e-02,2.066192680367139989e+00,-2.229783788680635315e+00
1.945833333333333581e-01,7.005000000000001137e+01,4.625987282551114466e-01,6.454307059426280802e-01,5.007149545462840079e-01,6.987363566523855374e-01,3.811622629117256134e-02,5.330565070975745723e-02,2.058953804467615445e+00,-2.223841237397937931e+00
1.950000000000000067e-01,7.020000000000000284e+01,4.633462812722117241e-01,6.446714569189506694e-01,5.015713466267145426e-01,6.978109915036961874e-01,3.822506535450281850e-02,5.313953458474551805e-02,2.051730921026599486e+00,-2.217914084498493033e+00
1.954166666666666829e-01,7.035000000000000853e+01,4.640938342893120572e-01,6.439122078952731476e-01,5.024247326581532391e-01,6.968880927073531906e-01,3.833089836884118196e-02,5.297588481208004296e-02,2.044524916744049126e+00,-2.212002828579377134e+00
1.958333333333333592e-01,7.050000000000001421e+01,4.648413873064124457e-01,6.431529588715956258e-01,5.032751198575853291e-01,6.959676535371044359e-01,3.843373255117288334e-02,5.281469466550881009e-02,2.037336674122241398e+00,-2.206107960384788402e+00
1.962500000000000078e-01,7.065000000000000568e+01,4.655889403235127233e-01,6.423937098479182151e-01,5.041225158088087355e-01,6.950496670638502961e-01,3.853357548529601218e-02,5.265595721593208101e-02,2.030167071337426687e+00,-2.200229962843097020e+00
1.966666666666666841e-01,7.080000000000001137e+01,4.663364933406130564e-01,6.416344608242408043e-01,5.049669284606043140e-01,6.941341261588931388e-01,3.863043511999125768e-02,5.249966533465233454e-02,2.023016982112465723e+00,-2.194369311105199394e+00
1.970833333333333326e-01,7.095000000000000284e+01,4.670840463577133894e-01,6.408752118005633935e-01,5.058083661248551355e-01,6.932210234971691865e-01,3.872431976714174606e-02,5.234581169660579292e-02,2.015887275590482197e+00,-2.188526472584146010e+00
1.975000000000000089e-01,7.110000000000000853e+01,4.678315993748137225e-01,6.401159627768858718e-01,5.066468374746105896e-01,6.923103515604637215e-01,3.881523809979686712e-02,5.219438878357784972e-02,2.008778816209521700e+00,-2.182701906996003860e+00
1.979166666666666852e-01,7.125000000000000000e+01,4.685791523919140555e-01,6.393567137532083500e-01,5.074823515421011955e-01,6.914021026406103054e-01,3.890319915018713992e-02,5.204538888740195546e-02,2.001692463578292891e+00,-2.176896066401974306e+00
1.983333333333333337e-01,7.140000000000000568e+01,4.693267054090143331e-01,6.385974647295309392e-01,5.083149177167000099e-01,6.904962688426710127e-01,3.898821230768567681e-02,5.189880411314007347e-02,1.994629072352954724e+00,-2.171109395251700658e+00
1.987500000000000100e-01,7.154999999999999716e+01,4.700742584261146662e-01,6.378382157058535284e-01,5.091445457428342980e-01,6.895928420880982346e-01,3.907028731671963184e-02,5.175462638224470613e-02,1.987589492115022116e+00,-2.165342330427765916e+00
1.991666666666666863e-01,7.170000000000000284e+01,4.708218114432150547e-01,6.370789666821761177e-01,5.099712457178446900e-01,6.886918141178786090e-01,3.914943427462963532e-02,5.161284743570249134e-02,1.980574567250374951e+00,-2.159595301291356240e+00
1.995833333333333348e-01,7.184999999999999432e+01,4.715693644603153323e-01,6.363197176584985959e-01,5.107950280897962658e-01,6.877931764956579652e-01,3.922566362948093355e-02,5.147345883715936932e-02,1.973585136829425268e+00,-2.153868729729061293e+00
2.000000000000000111e-01,7.200000000000000000e+01,4.723169174774156653e-01,6.355604686348210741e-01,5.116159036552393458e-01,6.868969206108433978e-01,3.929898617782368042e-02,5.133645197602232368e-02,1.966622034488430426e+00,-2.148163030200793688e+00
2.004166666666666874e-01,7.215000000000000568e+01,4.730644704945159984e-01,6.348012196111436634e-01,5.124338835569192119e-01,6.860030376816904640e-01,3.936941306240321348e-02,5.120181807054680068e-02,1.959686088312008412e+00,-2.142478609788796007e+00
