motor_time_fraction,motor_angle_deg,source16_small,source16_large,mobile7_small,mobile7_large,source16_dsmall_dt,source16_dlarge_dt,mobile7_dsmall_dt,mobile7_dlarge_dt
7.968750000000000000e-01,2.868750000000000000e+02,7.099029419303271027e-02,2.591180146981097443e-01,3.145255823902275410e-03,3.248207962897473600e-01,-1.782584524918358282e+00,1.779905078819345565e+00,-3.862231247407155732e-01,1.020922838882898587e+00
7.972222222222222765e-01,2.870000000000000000e+02,7.037192309218824604e-02,2.597359624211055817e-01,3.012618808528990614e-03,3.251766981971253578e-01,-1.779220078790551440e+00,1.779473184633333593e+00,-3.777622043815199726e-01,1.029101628835724869e+00
7.975694444444444420e-01,2.871250000000000000e+02,6.975473367800802404e-02,2.603537595339642796e-01,2.882921747342489637e-03,3.255354706717321078e-01,-1.775778009733343987e+00,1.779037564431205531e+00,-3.692955140436175454e-01,1.037457306121808420e+00
7.979166666666667185e-01,2.872500000000000000e+02,6.913875290289768494e-02,2.609714047429308459e-01,2.756161707328519568e-03,3.258971751327808253e-01,-1.772258317746733480e+00,1.778598218212960269e+00,-3.608450288029889652e-01,1.045989870741157457e+00
7.982638888888888840e-01,2.873750000000000000e+02,6.852400771926356327e-02,2.615888967542494004e-01,2.632333038197486562e-03,3.262618729994845590e-01,-1.768661002830721030e+00,1.778155145978598251e+00,-3.524108177572994327e-01,1.054699322693766650e+00
7.986111111111111605e-01,2.875000000000000000e+02,6.791052507951153561e-02,2.622062342741643404e-01,2.511430089187413790e-03,3.266296256910559137e-01,-1.764986064985306413e+00,1.777708347728120586e+00,-3.439928809065492810e-01,1.063585661979636887e+00
7.989583333333333259e-01,2.876250000000000000e+02,6.729833193604806141e-02,2.628234160089197857e-01,2.393447209536152254e-03,3.270004946267078827e-01,-1.761233504210491629e+00,1.777257823461525943e+00,-3.355912182507426178e-01,1.072648888598763728e+00
7.993055555555556024e-01,2.877500000000000000e+02,6.668745524127853153e-02,2.634404406647606334e-01,2.278378748481460579e-03,3.273745412256537923e-01,-1.757403320506273570e+00,1.776803573178814100e+00,-3.272058297898712831e-01,1.081889002551156498e+00
7.996527777777777679e-01,2.878750000000000000e+02,6.607792194760964133e-02,2.640573069479309476e-01,2.166219055261367574e-03,3.277518269071060253e-01,-1.753495513872655343e+00,1.776345596879986610e+00,-3.188367155239427708e-01,1.091306003836805205e+00
8.000000000000000444e-01,2.880000000000000000e+02,6.546975900744685106e-02,2.646740135646753478e-01,2.056962479113540361e-03,3.281324130902780745e-01,-1.749510084309633395e+00,1.775883894565042143e+00,-3.104838754529506972e-01,1.100899892455718954e+00
8.003472222222222099e-01,2.881250000000000000e+02,6.486299337319646752e-02,2.652905592212382313e-01,1.950603369276006230e-03,3.285163611943824891e-01,-1.745447031817209504e+00,1.775418466233981363e+00,-3.021473095768976713e-01,1.110670668407893080e+00
8.006944444444444864e-01,2.882500000000000000e+02,6.425765199726453381e-02,2.659069426238639400e-01,1.847136074986702918e-03,3.289037326386323734e-01,-1.741306356395383892e+00,1.774949311886803605e+00,-2.938270178957846923e-01,1.120618331693329361e+00
8.010416666666666519e-01,2.883750000000000000e+02,6.365376183205735672e-02,2.665231624787965936e-01,1.746554945483302316e-03,3.292945888422404987e-01,-1.737088058044157890e+00,1.774476431523509756e+00,-2.855230004096138696e-01,1.130742882312021358e+00
8.013888888888889284e-01,2.885000000000000000e+02,6.305134982998038262e-02,2.671392174922811447e-01,1.648854330003739991e-03,3.296889912244199694e-01,-1.732792136763528834e+00,1.773999825144098708e+00,-2.772352571183794301e-01,1.141044320263978618e+00
8.017361111111110938e-01,2.886250000000000000e+02,6.245044294344029995e-02,2.677551063705614354e-01,1.554028577785954114e-03,3.300870012043835566e-01,-1.728418592553499167e+00,1.773519492748571569e+00,-2.689637880220870914e-01,1.151522645549193147e+00
8.020833333333333703e-01,2.887500000000000000e+02,6.185106812484258282e-02,2.683708278198823627e-01,1.462072038067705046e-03,3.304886802013445868e-01,-1.723967425414066001e+00,1.773035434336927896e+00,-2.607085931207317464e-01,1.162177858167672051e+00
