motor_time_fraction,motor_angle_deg,source16_aligned_small,source16_aligned_large,structured15_small,structured15_large,source16_aligned_dsmall_dt,source16_aligned_dlarge_dt,structured15_dsmall_dt,structured15_dlarge_dt,source16_aligned_ddsmall_dt2,source16_aligned_ddlarge_dt2,structured15_ddsmall_dt2,structured15_ddlarge_dt2
4.625000000000000222e-01,1.665000000000000000e+02,9.962308663399750408e-01,1.250836434977922185e-01,9.815774712692794113e-01,1.081200211055938221e-01,-1.029578451879753720e+00,-1.911427941594763480e+00,-1.825641426131021650e+00,-1.983792090257055163e+00,-1.483340638734175059e+02,7.725827066963796064e+00,-9.569709417321665512e+01,1.381663270344200534e+01
4.628472222222222432e-01,1.666250000000000000e+02,9.958644102606779569e-01,1.244204207750755353e-01,9.809377978328077674e-01,1.074320387450262704e-01,-1.081271179721948528e+00,-1.908729730503417210e+00,-1.858881390146850165e+00,-1.978982139136119311e+00,-1.494160484975793395e+02,7.815868819188559691e+00,-9.576314321200693769e+01,1.388864662981879583e+01
4.631944444444444642e-01,1.667500000000000000e+02,9.954799400937437426e-01,1.237581403590740786e-01,9.802865789959425147e-01,1.067457308427641749e-01,-1.133339596669754368e+00,-1.906000254914770542e+00,-1.892142255880449486e+00,-1.974147224073097284e+00,-1.504980331217410878e+02,7.905910571413324206e+00,-9.581750201380869214e+01,1.396042460667211316e+01
4.635416666666666852e-01,1.668750000000000000e+02,9.950773253915663474e-01,1.230968131055161369e-01,9.796238082041678341e-01,1.060611060525706861e-01,-1.185783702723172350e+00,-1.903239514828823920e+00,-1.925419978749082661e+00,-1.969287427414890601e+00,-1.515800177459029214e+02,7.995952323638088721e+00,-9.586025425604729833e+01,1.403196421491181134e+01
4.638888888888889062e-01,1.670000000000000000e+02,9.946564357065394990e-01,1.224364498701299708e-01,9.789494803022928959e-01,1.053781729994709426e-01,-1.238603497882201587e+00,-1.900447510245576677e+00,-1.958710543224678302e+00,-1.964402832348356442e+00,-1.526620023700647266e+02,8.085994075862851460e+00,-9.589148361614824978e+01,1.410326303544780657e+01
4.642361111111111271e-01,1.671250000000000000e+02,9.942171405910573689e-01,1.217770615086441049e-01,9.782635915243630409e-01,1.046969402794595272e-01,-1.291798982146810548e+00,-1.897624241165031256e+00,-1.992009962833825476e+00,-1.959493522900318974e+00,-1.537439869942258497e+02,8.176035828087560020e+00,-9.591127377153699740e+01,1.417431864918995288e+01
4.645833333333333481e-01,1.672500000000000000e+02,9.937593095975134627e-01,1.211186588767860645e-01,9.775661394835718498e-01,1.040174164592094774e-01,-1.345370155517063626e+00,-1.894769707587183660e+00,-2.025314280157772817e+00,-1.954559583937563128e+00,-1.548259716183876549e+02,8.266077580312323647e+00,-9.591970839963897788e+01,1.424512863704812915e+01
4.649305555555555691e-01,1.673750000000000000e+02,9.932828122783016189e-01,1.204612528302844987e-01,9.768571231621722140e-01,1.033396100757802971e-01,-1.399317017992928180e+00,-1.891883909512035666e+00,-2.058619566832433190e+00,-1.949601101166833939e+00,-1.559079562425494316e+02,8.356119332537087274e+00,-9.591687117787965633e+01,1.431569057993223204e+01
4.652777777777777901e-01,1.675000000000000000e+02,9.927875181858165643e-01,1.198048542248679182e-01,9.761365429013881823e-01,1.026635296363263006e-01,-1.453639569574371571e+00,-1.888966846939589495e+00,-2.091921923548378803e+00,-1.944618161134839429e+00,-1.569899408667105831e+02,8.446161084761794058e+00,-9.590284578368442681e+01,1.438600205875213511e+01
4.656250000000000111e-01,1.676250000000000000e+02,9.922732968724509162e-01,1.191494739162638344e-01,9.754044003913263650e-01,1.019891836178050681e-01,-1.508337810261459744e+00,-1.886018519869840926e+00,-2.125217480050846763e+00,-1.939610851228250832e+00,-1.580719254908723599e+02,8.536202836986561238e+00,-9.587771589447882548e+01,1.445606065441769239e+01
