motor_time_fraction,motor_angle_deg,source16_aligned_small,source16_aligned_large,power_sigmoid_small,power_sigmoid_large,source16_aligned_dsmall_dt,source16_aligned_dlarge_dt,power_sigmoid_dsmall_dt,power_sigmoid_dlarge_dt
2.493055555555555580e-01,8.975000000000000000e+01,6.257890918490911503e-01,5.269561947620414744e-01,8.217563653910542332e-01,6.166058768808047041e-01,9.626210158879583423e-01,-1.474568981634008624e+00,2.247111126284949023e+00,-3.496585549436640683e+00
2.496527777777777790e-01,8.987500000000000000e+01,6.261233353885318209e-01,5.264443539603055333e-01,8.225356347550155656e-01,6.153912338767366652e-01,9.626479668083938179e-01,-1.473640605339679333e+00,2.241479889668921643e+00,-3.499753003104458582e+00
2.500000000000000000e-01,9.000000000000000000e+01,6.264576155729300044e-01,5.259328286687666720e-01,8.233129482916974329e-01,6.141754964336272327e-01,9.628320908441935222e-01,-1.472751642899190694e+00,2.235845576588033623e+00,-3.502889501788060134e+00
2.503472222222222210e-01,9.012500000000000000e+01,6.267919869762842433e-01,5.254216052020589389e-01,8.240883049489425849e-01,6.129586753169009583e-01,9.631733879953574551e-01,-1.471902094312542708e+00,2.230208279498699930e+00,-3.505994946752601482e+00
2.506944444444444420e-01,9.025000000000000000e+01,6.271265041725930800e-01,5.249106698748164934e-01,8.248617037066473534e-01,6.117407813261154237e-01,9.636718582618856166e-01,-1.471091959579735153e+00,2.224568090575332224e+00,-3.509069240131950984e+00
2.510416666666666630e-01,9.037500000000000000e+01,6.274612217358542798e-01,5.244000090016733839e-01,8.256331435766645077e-01,6.105218252946571500e-01,9.643275016437772296e-01,-1.470321238700768030e+00,2.218925101708298708e+00,-3.512112284935039241e+00
2.513888888888888840e-01,9.050000000000000000e+01,6.277961942400671624e-01,5.238896088972633258e-01,8.264026236027030015e-01,6.093018180894378411e-01,9.651403181410339593e-01,-1.469589931675641115e+00,2.213279404501885761e+00,-3.515123985052144739e+00
2.517361111111111049e-01,9.062500000000000000e+01,6.281314762592296042e-01,5.233794558762209226e-01,8.271701428602289408e-01,6.080807706105859634e-01,9.661103077536544737e-01,-1.468898038504354853e+00,2.207631090272292873e+00,-3.518104245261147067e+00
2.520833333333333259e-01,9.075000000000000000e+01,6.284671223673398144e-01,5.228695362531804447e-01,8.279357004563657751e-01,6.068586937911392143e-01,9.672374704816382174e-01,-1.468245559186909244e+00,2.201980250045652010e+00,-3.521052971233717077e+00
2.524305555555555469e-01,9.087500000000000000e+01,6.288031871383967797e-01,5.223598363427750524e-01,8.286992955297917129e-01,6.056355985967309952e-01,9.685218063249870779e-01,-1.467632493723303622e+00,2.196326974556076284e+00,-3.523970069541468852e+00
