motor_time_fraction,motor_angle_deg,source16_aligned_small,source16_aligned_large,beta_cdf_small,beta_cdf_large,source16_aligned_dsmall_dt,source16_aligned_dlarge_dt,beta_cdf_dsmall_dt,beta_cdf_dlarge_dt
8.833333333333334147e-01,3.180000000000000568e+02,1.035330322809226584e-04,3.919887589378453496e-01,2.882116234687177869e-02,7.708923909888814041e-01,7.273243657675952656e-02,2.244464836879838554e+00,8.190010449546001325e-01,3.428176885600710655e+00
8.836805555555555802e-01,3.181250000000000000e+02,1.303188326119470613e-04,3.927713237386754042e-01,2.910618429134232549e-02,7.720817461608938670e-01,8.155109074123115254e-02,2.263158362228112175e+00,8.227245556284269457e-01,3.422504310024656160e+00
8.840277777777778567e-01,3.182500000000000000e+02,1.601638712759925743e-04,3.935604313743425453e-01,2.939249828854799754e-02,7.732691269020665059e-01,9.035364937528458928e-02,2.282151565541020499e+00,8.264432686132522354e-01,3.416804164216198370e+00
8.843750000000000222e-01,3.183750000000000000e+02,1.930625595472243395e-04,3.943561858996950664e-01,2.968010267252555942e-02,7.744545236396684906e-01,9.914011247891622858e-02,2.301444446818556422e+00,8.301571833418884827e-01,3.411076449723938975e+00
8.847222222222222987e-01,3.185000000000000000e+02,2.290093087000033198e-04,3.951586913695832592e-01,2.996899577711666443e-02,7.756379268015130002e-01,1.079104800521403229e-01,2.321037006060753249e+00,8.338662992525470719e-01,3.405321168108328855e+00
8.850694444444444642e-01,3.186250000000000000e+02,2.679985300082183349e-04,3.959680518388537518e-01,3.025917593596776090e-02,7.768193268159527820e-01,1.166647520949319478e-01,2.340929243267552362e+00,8.375706157887354841e-01,3.399538320941775549e+00
8.854166666666667407e-01,3.187500000000000000e+02,3.100246347461697947e-04,3.967843713623571134e-01,3.055064148253394327e-02,7.779987141118931415e-01,1.254029286073124472e-01,2.361121158439003942e+00,8.412701323992056723e-01,3.393727909808701426e+00
8.857638888888889062e-01,3.188750000000000000e+02,3.550820341880167835e-04,3.976077539949418038e-01,3.084339075007923661e-02,7.791760791187865021e-01,1.341250095892747851e-01,2.381612751575090670e+00,8.449648485378605800e-01,3.387889936305657823e+00
8.861111111111111827e-01,3.190000000000000000e+02,4.031651396078520053e-04,3.984383037914560055e-01,3.113742207167910503e-02,7.803514122666461716e-01,1.428309950408152840e-01,2.402404022675804995e+00,8.486547636636884162e-01,3.382024402041387656e+00
8.864583333333333481e-01,3.191250000000000000e+02,4.542683622799737289e-04,3.992761248067494551e-01,3.143273378022198861e-02,7.815247039860445666e-01,1.515208849619411879e-01,2.423494971741163795e+00,8.523398772406904911e-01,3.376131308636926676e+00
