time_s,cycle_progress_rad,S_pressure_Pa,S_temperature_K,L_pressure_Pa,L_temperature_K,H_i_pressure_Pa,H_i_temperature_K,H_o_pressure_Pa,H_o_temperature_K,S_to_H_i_mass_flow_kg_s,H_i_to_L_mass_flow_kg_s,L_to_H_o_mass_flow_kg_s,H_o_to_S_mass_flow_kg_s,H_i_heat_received_W,H_o_heat_received_W
1.3123354778083025e-05,1.2493574900651111e-05,157419.74684158553,302.0401294876823,157471.0189054692,474.99789483419494,157449.74729924247,598.4993256008402,157464.58123404355,299.5208364806752,-0.0055587486063096315,0.0,0.0016159322078452031,0.005380162594667834,187.58429989497927,59.89543991559998
1.4226525615851938e-05,1.3543805403669885e-05,157417.17064716792,302.04231080287656,157471.11269725597,474.9979756670132,157447.62959104415,598.497366380517,157464.0544249218,299.52086949234,-0.005601068592709897,0.0,0.0016923714628955542,0.005501785102897691,187.82920243538115,59.89131345749854
1.532969645362085e-05,1.4594035906688658e-05,157414.68650762757,302.04456584565906,157471.2060171632,474.9980560931159,157445.4971297326,598.4953915636187,157463.52780013593,299.52091456356345,-0.0056333067237351675,0.0,0.001765428252661514,0.005615491975718092,188.07605454766474,59.88567955456858
1.6977583832168747e-05,1.6162842415380263e-05,157411.12091461202,302.04804456892185,157471.34458040414,474.99817551131855,157442.29215065163,598.4924211854083,157462.7424275053,299.5210037620955,-0.005666158824908262,0.0,0.0018690160152940642,0.005773132469645689,188.44735182396732,59.87452973806029
1.862547121071664e-05,1.773164892407187e-05,157407.70022139212,302.05162551008374,157471.4821944029,474.99829411136,157439.07240209106,598.4894357298251,157461.9594801999,299.5211183289402,-0.005684362524795639,0.0,0.0019668061639792557,0.005918806697092665,188.82053377186026,59.86020888247623
2.0273358589264538e-05,1.9300455432763478e-05,157404.39815636727,302.05528176332984,157471.61891012604,474.9984119371661,157435.8456779586,598.4864436650284,157461.17961779388,299.52125732659425,-0.005691144930781486,0.0,0.0020595644126705196,0.006054815813933065,189.19454187144424,59.84283417571845
2.1921245967812435e-05,2.0869261941455085e-05,157401.19395059414,302.05899217883064,157471.7547720304,474.9985290270526,157432.61806617727,598.4834516041756,157460.4032238936,299.52141983272344,-0.005688980937694875,0.0,0.002147910565680131,0.006182903142890924,189.56854947805368,59.82252090957019
2.356913334636033e-05,2.2438068450146692e-05,157398.07107546044,302.062740049733,157471.88981927175,474.99864541476643,157429.39433553797,598.4804647260205,157459.630488273,299.5216049541547,-0.005679793462289376,0.0,0.00223235475082763,0.00630440835821929,189.94190924743748,59.79938073065938
2.5946829609162616e-05,2.4701660866312235e-05,157393.68222021902,302.06818749232383,157472.0833094291,474.99881217019265,157424.75714558468,598.4761722125369,157458.52207196466,299.5219102007955,-0.0056571537069375075,0.0,0.002348165203427743,0.006470187406930133,190.47847343288993,59.76122490056213
2.8324525871964903e-05,2.696525328247778e-05,157389.40497105103,302.0736555960899,157472.27526651317,474.99897760422704,157420.14406506397,598.4719078843501,157457.42122359312,299.52225835488633,-0.0056264161929837075,0.0,0.002457770482263223,0.006626747556534547,191.01151445623543,59.71770563920842
