theta_deg,E_x,E_y,E_projected_velocity,E_projected_velocity_scaled_to_target,E_piecewise_model_scaled_to_target,target_velocity,target_piecewise_model,regime_core
131.25,0.4294568850728653,-0.17471442695553963,-0.1768902624400605,-0.10321653915663176,-0.09787564712738595,-0.13835270241917483,-0.09729618971423576,1
131.5,0.4291130606451806,-0.17373043716372438,-0.17660047779585603,-0.10307949928889591,-0.09715273638626651,-0.1369162914950471,-0.0966071180735324,1
131.75,0.42876779397278514,-0.17275173543316297,-0.17630726835307978,-0.10294083982553041,-0.09642982564514695,-0.1354750838048146,-0.09591804643282897,1
132.0,0.42842109005246387,-0.17177834412467838,-0.17601055964769008,-0.10280052555230763,-0.0957069149040274,-0.13402917786269347,-0.09522897479212555,1
132.25,0.42807295409998014,-0.17081028587387592,-0.1757102770068702,-0.1026585211562697,-0.09498400416290795,-0.13257867306059445,-0.09453990315142219,1
132.5,0.4277233915504943,-0.16984758359231228,-0.17540634554005344,-0.10251479122148427,-0.0942610934217884,-0.13112366966812256,-0.09385083151071877,1
132.75,0.42737240805900734,-0.16889026046870076,-0.17509869012993137,-0.10236930022479228,-0.09353818268066884,-0.1296642688325771,-0.09316175987001535,1
133.0,0.4270200095008394,-0.16793833997014124,-0.17478723542344465,-0.10222201253154749,-0.09281527193954939,-0.12820057257895182,-0.09247268822931198,1
133.25,0.426666201972127,-0.16699184584338683,-0.17447190582275612,-0.10207289239134758,-0.09209236119842984,-0.12673268380993472,-0.09178361658860856,1
133.5,0.42631099179035825,-0.16605080211613354,-0.17415262547620608,-0.101921903933757,-0.09136945045731039,-0.12526070630590824,-0.0910945449479052,1
133.75,0.4259543854949298,-0.1651152330983447,-0.17382931826924863,-0.10176901116402062,-0.09064653971619084,-0.12378474472494908,-0.09040547330720178,1
134.0,0.42559638984773374,-0.16418516338360947,-0.17350190781537012,-0.10161417795876913,-0.08992362897507128,-0.12230490460282835,-0.08971640166649836,1
134.25,0.42523701183377727,-0.16326061785052104,-0.17317031744698796,-0.10145736806171503,-0.08920071823395184,-0.12082129235301148,-0.08902733002579499,1
134.5,0.4248762586618248,-0.1623416216640911,-0.17283447020633158,-0.10129854507934015,-0.08847780749283228,-0.11933401526665824,-0.08833825838509157,1
134.75000000000003,0.4245141377650732,-0.16142820027719967,-0.17249428883630355,-0.101137672476574,-0.08775489675171268,-0.11784318151262274,-0.08764918674438804,1
135.0,0.4241506568018571,-0.1605203794320635,-0.1721496957713224,-0.10097471357246318,-0.08703198601059328,-0.1163489001374535,-0.08696011510368479,1
135.25,0.42378582365637907,-0.15961818516174134,-0.17180061312814632,-0.10080963153583199,-0.08630907526947372,-0.11485128106539333,-0.08627104346298131,1
135.5,0.4234196464394735,-0.15872164379166806,-0.17144696269667847,-0.10064238938093409,-0.08558616452835428,-0.11335043509837936,-0.085581971822278,1
135.75,0.4230521334894012,-0.15783078194121547,-0.17108866593075361,-0.10047294996309568,-0.08486325378723472,-0.11184647391604313,-0.08489290018157453,1
136.0,0.4226832933726665,-0.1569456265252872,-0.17072564393890685,-0.10030127597434982,-0.08414034304611527,-0.11033951007571052,-0.08420382854087122,1
136.25,0.42231313488487343,-0.1560662047559357,-0.17035781747512463,-0.1001273299390627,-0.08341743230499572,-0.1088296570124017,-0.08351475690016774,1
136.5,0.4219416670516096,-0.15519254414401618,-0.1699851069295784,-0.0999510742095515,-0.08269452156387617,-0.10731702903883125,-0.08282568525946432,1
136.75,0.42156889912935414,-0.15432467250086354,-0.16960743231934158,-0.09977247096169439,-0.08197161082275672,-0.1058017413454081,-0.08213661361876096,1
137.0,0.42119484060642665,-0.1534626179400003,-0.16922471327909058,-0.09959148219053308,-0.08124870008163716,-0.1042839100002354,-0.08144754197805754,1
137.25,0.4208195012039591,-0.15260640887887425,-0.1688368690517905,-0.09940806970586806,-0.08052578934051761,-0.10276365194911086,-0.08075847033735412,1
137.5,0.4204428908769044,-0.15175607404061725,-0.16844381847936582,-0.09922219512784673,-0.07980287859939816,-0.10124108501552634,-0.08006939869665075,1
137.75,0.42006501981507,-0.1509116424558446,-0.1680454799933584,-0.09903381988254549,-0.07907996785827862,-0.0997163279006682,-0.07938032705594733,1
138.0,0.41968589844419146,-0.15007314346446898,-0.16764177160557178,-0.09884290519754553,-0.07835705711715917,-0.09818950018341703,-0.07869125541524397,1
138.25,0.41930553742703014,-0.14924060671754905,-0.1672326108987049,-0.09864941209750336,-0.0776341463760396,-0.09666072232034781,-0.07800218377454055,1
138.5,0.41892394766450575,-0.1484140621791666,-0.16681791501697463,-0.09845330139971631,-0.07691123563492006,-0.09513011564572989,-0.07731311213383713,1
138.75,0.4185411402968645,-0.14759354012832354,-0.16639760065673015,-0.09825453370968394,-0.0761883248938006,-0.09359780237152696,-0.07662404049313376,1
139.0,0.4181571267048736,-0.14677907116087166,-0.16597158405705914,-0.09805306941666575,-0.07546541415268106,-0.092063905587397,-0.07593496885243034,1
139.25000000000003,0.41777191851105366,-0.14597068619146608,-0.16553978099038807,-0.09784886868923598,-0.07474250341156145,-0.09052854926069241,-0.07524589721172686,1
139.5,0.41738552758094105,-0.14516841645554526,-0.16510210675307813,-0.09764189147083645,-0.07401959267044206,-0.08899185823645991,-0.07455682557102356,1
139.75,0.41699796602438544,-0.14437229351133576,-0.1646584761560188,-0.09743209747532826,-0.0732966819293225,-0.08745395823744057,-0.07386775393032013,1
140.0,0.4166092461968793,-0.14358234924188257,-0.16420880351522021,-0.09721944618254277,-0.07257377118820305,-0.08591497586406978,-0.07317868228961677,1
140.25,0.4162193807009222,-0.14279861585710318,-0.16375300264240714,-0.09700389683383365,-0.0718508604470835,-0.08437503859447729,-0.07248961064891335,1
140.5,0.41582838238741854,-0.14202112589586874,-0.16329098683561633,-0.09678540842763016,-0.07112794970596405,-0.08283427478448722,-0.07180053900820998,1
140.75,0.41543626435711095,-0.14124991222810407,-0.16282266886979987,-0.09656393971499364,-0.0704050389648445,-0.08129281366761805,-0.07111146736750656,1
141.0,0.41504303996204506,-0.14048500805691577,-0.16234796098743623,-0.09633944919517723,-0.06968212822372494,-0.07975078535508255,-0.07042239572680314,1
141.25,0.4146487228070732,-0.13972644692073954,-0.1618667748891527,-0.09611189511119143,-0.06895921748260549,-0.07820832083578787,-0.06973332408609978,1
141.5,0.4142533267513885,-0.13897426269551474,-0.161379021724361,-0.09588123544537552,-0.06823630674148594,-0.0766655519763355,-0.06904425244539636,1
141.75,0.4138568659101005,-0.13822848959687084,-0.1608846120819095,-0.09564742791497695,-0.06751339600036639,-0.07512261152102127,-0.06835518080469294,1
142.0,0.41345935465583916,-0.13748916218234827,-0.16038345598075474,-0.09541042996773999,-0.06679048525924694,-0.0735796330918354,-0.06766610916398957,1
142.25,0.4130608076204004,-0.13675631535362667,-0.15987546286065582,-0.09517019877750499,-0.06606757451812738,-0.07203675118846241,-0.06697703752328615,1
142.5,0.412661239696425,-0.13602998435878383,-0.1593605415728948,-0.09492669123982006,-0.06534466377700794,-0.07049410118828117,-0.06628796588258279,1
142.75,0.4122606660391144,-0.1353102047945642,-0.15883860037102698,-0.09467986396756688,-0.06462175303588838,-0.0689518193463649,-0.06559889424187937,1
143.0,0.4118591020679837,-0.13459701260867482,-0.15830954690166413,-0.09442967328660204,-0.06389884229476883,-0.0674100427954812,-0.06490982260117589,1
143.25,0.4114565634686501,-0.13389044410209341,-0.1577732881952954,-0.09417607523141626,-0.06317593155364938,-0.06586890954609194,-0.06422075096047258,1
143.5,0.4110530661946624,-0.13319053593139185,-0.15722973065714974,-0.09391902554081312,-0.06245302081252983,-0.06432855848635345,-0.06353167931976911,1
143.75000000000003,0.4106486264693624,-0.13249732511108148,-0.15667878005810376,-0.0936584796536095,-0.061730110071410216,-0.06278912938211632,-0.06284260767906563,1
144.0,0.4102432607877875,-0.1318108490159705,-0.1561203415256403,-0.09339439270435976,-0.06100719933029082,-0.061250762876925526,-0.06215353603836232,1
144.25,0.40983698591861184,-0.13113114538353415,-0.1555543195348616,-0.09312671951910582,-0.06028428858917127,-0.05971360049202035,-0.0614644643976589,1
144.5,0.4094298189061232,-0.13045825231630315,-0.15498061789956272,-0.09285541461115593,-0.05956137784805182,-0.058177784626334446,-0.06077539275695554,1
144.75,0.4090217770722403,-0.12979220828425758,-0.15439913976337016,-0.09258043217689388,-0.058838467106932274,-0.05664345855649585,-0.06008632111625212,1
145.0,0.40861287801856894,-0.1291330521272383,-0.15380978759095074,-0.09230172609162182,-0.05811555636581277,-0.05511076643682688,-0.05939724947554875,1
145.25,0.4082031396284951,-0.12848082305736885,-0.15321246315929657,-0.09201924990543885,-0.057392645624693275,-0.053579853299344254,-0.05870817783484533,1
