index,label,feasible,k_i,k_o,indicated_thermal_efficiency,indicated_power_w,heat_input_w,heat_out_w,maximum_pressure_pa,maximum_temperature_k,maximum_absolute_mass_flow_kg_s,maximum_tube_reynolds,maximum_tube_mach_number,cold_isothermality_error,hot_isothermality_error,pressure_equalization_error,convergence_cycles,constraint_power_ok,constraint_pressure_ok,constraint_temperature_ok,constraint_mass_flow_ok,constraint_validity_ok,hi_tube_length_m,ho_tube_length_m,hi_working_gas_volume_m3,ho_working_gas_volume_m3,hi_wall_capacity_j_k,ho_wall_capacity_j_k,hi_static_conductance_w_k,ho_static_conductance_w_k,hi_internal_area_m2,ho_internal_area_m2
20,sobol,True,1.2908505657687783,1.0887834191322325,0.19734903008814245,57.102998545943294,289.350287257248,-232.23647025572885,480810.3283151685,585.9214716550749,0.010160523001229394,528.6186983245261,0.0407462658194303,0.023819477137727564,0.049714517284481556,0.020370042072182834,22,True,True,True,True,True,0.054646007284211616,0.04609183140993118,4.258694272613835e-05,3.9874031006322135e-05,189.19760638736236,159.89407026708528,15.611483641632795,13.167693447878557,0.21006900274107093,0.17718522431905614
21,sobol,True,0.692993204575032,0.7509693279862404,0.20158543267740128,48.116063257928104,238.6881959617023,-190.61739299240185,486852.38814318,575.6392531888932,0.010301541172804726,535.9554114336089,0.041405300398090726,0.036539967423112975,0.06347990050866342,0.01434102009098313,25,True,True,True,True,True,0.029336712327009688,0.031791034884750845,3.4560233441831716e-05,3.5338608884301254e-05,102.49704635012789,110.90467448153204,8.381025940475649,9.082186342958277,0.11277555687068744,0.12221041071880308
22,sobol,True,0.8870069365948439,1.4614535931497812,0.1861117125831641,52.24095146327823,280.69674250047177,-228.50313253766586,467594.3215378381,577.2708361091362,0.010086514414129468,524.7682741905651,0.04119469889304057,0.03355047029034675,0.04110745219210888,0.027281497511171628,22,True,True,True,True,True,0.03754996031584839,0.0618682021100074,3.716502168258691e-05,4.487742368814517e-05,130.63268590710317,213.93825353511437,10.727418531530962,17.67474831517412,0.14434874766772016,0.23783240834115368
23,sobol,True,1.8360375449992716,0.5986128050833941,0.20252980094254067,54.50904473225075,269.1408596590455,-214.6252082661063,496739.32295965235,594.7759533443215,0.010144055673273667,527.7619572426166,0.04032014295563854,0.015475163508996878,0.07384966221706842,0.011400984216584845,22,True,True,True,True,True,0.07772558940496917,0.025341275415197016,4.990651035533804e-05,3.329310171773039e-05,268.2599705772278,88.81011360730074,22.204948318017802,7.239594002630105,0.29879103461015805,0.09741638445733806
24,sobol,True,1.920246004126966,1.0105006009340285,0.19668698939029228,59.42028408910674,302.1058193696644,-242.69156568067996,482005.68034555804,593.253068479025,0.010079288872912411,524.3923529715108,0.04033991439953979,0.016582485388649242,0.05144537004576354,0.018876629266704192,22,True,True,True,True,True,0.08129041417470823,0.04277785877287387,5.103707571184349e-05,3.882302207941258e-05,280.4717806846853,148.54158952564998,23.22336130633777,12.220944871296156,0.3124948571132545,0.164445722174698
25,sobol,True,0.994652898516506,0.7494170531630515,0.20407591394722047,52.7191870851316,258.3312555873997,-205.54902214667229,491014.7463946205,582.4378569420575,0.01026991547160732,534.3100298918762,0.040973679112255655,0.02761065014454875,0.06404679138043647,0.01423060633407922,22,True,True,True,True,True,0.04210697270386542,0.03172532191723585,3.861025410432959e-05,3.531776836356198e-05,146.2433746602193,110.67956544175465,12.02928353294343,9.063413207126635,0.16186671641611622,0.12195779834620583
26,sobol,True,0.8198652379214764,1.2378298614174128,0.19174321280147183,51.72263924010203,269.7495180372038,-218.12068906722286,472996.817997895,576.4913220939316,0.010159598121600293,528.5705798698381,0.041280011242293704,0.034859768804229654,0.0455792286345132,0.023205317066111706,27,True,True,True,True,True,0.0347076284053425,0.05240146413333714,3.626359112224463e-05,4.187509771510124e-05,120.89587700471058,181.50860720593002,9.915410109869498,14.97025383502367,0.13342231663326823,0.20144057836486345
27,sobol,True,1.3474101019091904,0.3017741549760103,0.1955533953544127,40.53337681727703,207.27523929623442,-166.73561132375264,516602.4920262698,594.5640307670236,0.01047503196823344,544.9815686933993,0.040446859495369705,0.016839609491750618,0.12368759712453177,0.006125180350834875,23,True,True,True,True,True,0.057040360980822394,0.012775105893984435,4.3346299360884546e-05,2.930780739267507e-05,197.3998027256806,45.762927312530614,16.295511906909585,3.649641878624253,0.21927332558647933,0.04910978657787962
28,sobol,True,1.4843064877204597,1.4037488132715226,0.18893452483804757,57.94556358717376,306.6965322343495,-248.74362836442103,471833.7578444557,587.5124421073156,0.01004423728007137,522.5687335200721,0.040620687168092647,0.021951090060865368,0.042159669875054206,0.026103044447486932,22,True,True,True,True,True,0.06283564131349946,0.059425366428494455,4.518424192428345e-05,4.410269124783056e-05,217.25235299488102,205.56997531858332,17.95113010499162,16.976869528114875,0.2415514172640418,0.22844171209491587
29,sobol,False,0.5114848697558045,0.464163301885128,0.1990020800360819,39.3583901712233,197.77878786034327,-158.4339508630881,497730.73970381974,573.4422302567397,0.010627594150513106,552.9188788299413,0.041635235916728804,0.04107460855947292,0.08881747475719676,0.009192140200600763,25,False,True,True,True,True,0.02165285948632906,0.019649579779803753,3.212334007756252e-05,3.1488010494236686e-05,76.17492455032108,69.31240733043514,6.185873011861648,5.613568283258526,0.08323745548560632,0.07553649083923256
30,sobol,True,1.0802926332689822,1.1482849571853875,0.19578621130282792,55.36179243885326,282.7665547561143,-227.3791604013777,478246.84647793445,581.770765138896,0.010169364887043874,529.0787126534558,0.04094697304220052,0.027831219587267156,0.04807150022011512,0.021496692763762947,22,True,True,True,True,True,0.045732388141720245,0.048610729854181405,3.9760035471361205e-05,4.067288635029273e-05,158.66274664830414,168.52291220688292,13.065006298704324,13.887302140473892,0.17580346025892366,0.18686831939748763
