theta_deg,E_x,E_y,E_speed,E_projected_velocity,E_projected_acceleration,target_velocity,target_acceleration
40.25,1.8609755052185837,-0.013335111041879844,1.0197176380253519,-0.9359769220985024,0.12304907130298559,-0.48101338724951614,3.176083291348771
40.5,1.8577927973574355,-0.01022411295286807,1.0202911912268107,-0.9354427280323062,0.12178670776213493,-0.4673234940359867,3.0988722997326774
40.75,1.8546164168805181,-0.007103112466275596,1.0208552459135134,-0.9349141325806957,0.12048383542523655,-0.45397062488492423,3.0216033078502504
41.0,1.8514462545000123,-0.003972322170971376,1.0214097464578527,-0.9343913082205055,0.11914239021979531,-0.44095503083041737,2.944277248631229
41.25,1.8482822010901439,-0.0008319522827346382,1.0219546416882035,-0.93387441908668,0.11776426031395429,-0.4282769588448369,2.8668950509001587
41.5,1.845124147713627,0.00231778932641602,1.0224898847481296,-0.9333636211786784,0.11635128702189694,-0.4159366518567483,2.7894576393764194
41.75,1.841971985647234,0.005476697099061345,1.0230154329587404,-0.9328590625629475,0.11490526570095436,-0.40393434876882334,2.7119659346742537
42.0,1.8388256064064967,0.008644567763401723,1.0235312476841736,-0.9323608835714982,0.11342794663976881,-0.3922702844757527,2.6344208533027316
42.25,1.8356849017695758,0.011821200304456048,1.0240372942001712,-0.9318692169966273,0.11192103593739904,-0.38094468988215774,2.556823307665774
42.5,1.8325497638003125,0.015006395935461825,1.024533541565728,-0.9313841882818229,0.11038619637287116,-0.3699577919205028,2.479174206062135
42.75,1.8294200848704822,0.01819995806947522,1.025019962497758,-0.9309059157088975,0.10882504826492083,-0.35930981356900743,2.401474452685401
43.0,1.8262957576812764,0.02140169229118105,1.0254965332487669,-0.9304345105813906,0.10723917032171018,-0.3490009738695583,2.3237249476240485
43.25,1.8231766752840266,0.024611406328914065,1.0259632334874718,-0.929970077404287,0.10563010048007443,-0.3390314879456212,2.245926586861368
43.5,1.820062731100194,0.02782891002691318,1.0264200461823425,-0.9295127140600957,0.1039993367344508,-0.32940156702015366,2.168080262275456
43.75,1.8169538189406422,0.03105401531778995,1.0268669574880154,-0.9290625119813338,0.10234833795477719,-0.32011141843351676,2.090186861639299
44.0,1.813849833024214,0.03428653619524191,1.027303956634542,-0.9286195563194684,0.100678524693806,-0.3111612456613872,2.0122472686207176
44.25,1.810750667995627,0.03752628868699687,1.0277310358194276,-0.9281839261103552,0.09899127998308258,-0.3025512483326696,1.934262362782345
44.5,1.8076562189427086,0.04077309082800201,1.028148190102413,-0.9277556944362342,0.09728795011774057,-0.2942816222474087,1.8562330195816974
44.75,1.8045663814129866,0.04402676263386168,1.0285554173029612,-0.9273349285843199,0.09556984543043275,-0.2863525593947011,1.778160110371118
45.0,1.8014810514296598,0.04728712607452479,1.0289527179003932,-0.9269216902020426,0.09383824105326467,-0.27876424797060784,1.7000445023977822
45.25,1.7984001255069488,0.05055400504822122,1.0293400949366363,-0.9265160354489901,0.09209437766869824,-0.27151687239606614,1.6218870588037113
45.5,1.7953235006648605,0.05382722535566348,1.029717553921532,-0.9261180151455957,0.090339462248827,-0.264610613334802,1.5436886386257842
45.75,1.792251074443378,0.05710661467450168,1.030085102740657,-0.9257276749186285,0.08857466878298535,-0.2580456477112417,1.4654500967957187
46.0,1.789182744916082,0.06039200253404425,1.0304427515656154,-0.9253450553435324,0.086801138994124,-0.25182214872842457,1.3871722841400338
