motor_time_fraction,motor_angle_deg,source16_aligned_small,source16_aligned_large,hybrid_small,hybrid_large,source16_aligned_dsmall_dt,source16_aligned_dlarge_dt,hybrid_dsmall_dt,hybrid_dlarge_dt
5.427083333333333481e-01,1.953750000000000000e+02,6.255675441081554045e-01,1.378406930860167495e-02,8.201342303127187039e-01,9.659783059984163381e-03,-5.176479221539521447e+00,-7.281090804216682200e-01,-4.107491975441173615e+00,-9.867408813404532353e-01
5.430555555555556246e-01,1.955000000000000284e+02,6.237723369793679584e-01,1.353240181270739043e-02,8.187059880539381274e-01,9.320566664824727135e-03,-5.163908946567935310e+00,-7.214938298562105778e-01,-4.119166339175046154e+00,-9.671449123344685317e-01
5.434027777777777901e-01,1.956250000000000000e+02,6.219814996270023322e-01,1.328303322264123322e-02,8.172737100311306957e-01,8.988154680228623364e-03,-5.151309309356226329e+00,-7.148673828527463137e-01,-4.130737900976981791e+00,-9.475486704096495183e-01
5.437500000000000666e-01,1.957500000000000284e+02,6.201950422462776391e-01,1.303596742605472696e-02,8.158374320174669458e-01,8.662545957299094823e-03,-5.138680309904369636e+00,-7.082297394112633260e-01,-4.142206212228547457e+00,-9.279593190485238008e-01
5.440972222222222321e-01,1.958750000000000000e+02,6.184129750324202091e-01,1.279120831060066854e-02,8.143971899408619652e-01,8.343736859819150808e-03,-5.126021948212398982e+00,-7.015808995317778241e-01,-4.153570830227383048e+00,-9.083840217336206502e-01
5.444444444444445086e-01,1.960000000000000284e+02,6.166353081806491554e-01,1.254875976393064405e-02,8.129530198819193698e-01,8.031721264251558481e-03,-5.113334224280290385e+00,-6.949208632142775954e-01,-4.164831318187228959e+00,-8.888299419474753327e-01
5.447916666666666741e-01,1.961250000000000000e+02,6.148620518861880324e-01,1.230862567369691608e-02,8.115049580718785016e-01,7.726490559738618223e-03,-5.100617138108050952e+00,-6.882496304587667479e-01,-4.175987245237893219e+00,-8.693042431726349939e-01
5.451388888888889506e-01,1.962500000000000284e+02,6.130932163442599503e-01,1.207080992755174553e-02,8.100530408905574076e-01,7.428033648102293739e-03,-5.087870689695688675e+00,-6.815672012652493894e-01,-4.187038186425291464e+00,-8.498140888916122515e-01
5.454861111111111160e-01,1.963750000000000000e+02,6.113288117500851326e-01,1.183531641314685204e-02,8.085973048643029237e-01,7.136336943844412417e-03,-5.075094879043187568e+00,-6.748735756337173042e-01,-4.197983722711407850e+00,-8.303666425869589141e-01
5.458333333333333925e-01,1.965000000000000284e+02,6.095688482988868007e-01,1.160214901813449821e-02,8.071377866639315446e-01,6.851384374146118894e-03,-5.062289706150557400e+00,-6.681687535641744891e-01,-4.208823440974329699e+00,-8.109690677411948156e-01
5.461805555555555580e-01,1.966250000000000000e+02,6.078133361858886197e-01,1.137131163016694493e-02,8.056745231026802845e-01,6.573157378868877722e-03,-5.049455171017803501e+00,-6.614527350566251629e-01,-4.219556934008211968e+00,-7.916285278368709877e-01
5.465277777777778345e-01,1.967500000000000284e+02,6.060622856063092589e-01,1.114280813689583899e-02,8.042075511341475469e-01,6.301634910553020538e-03,-5.036591273644902778e+00,-6.547255201110571132e-01,-4.230183800523317217e+00,-7.723521863565008250e-01
5.468750000000000000e-01,1.968750000000000000e+02,6.043157067553753814e-01,1.091664242597378646e-02,8.027369078502438748e-01,6.036793434419206704e-03,-5.023698014031888093e+00,-6.479871087274864383e-01,-4.240703645145974754e+00,-7.531472067826383565e-01
5.472222222222222765e-01,1.970000000000000284e+02,6.025736098283061004e-01,1.069281838505250701e-02,8.012626304791329312e-01,5.778606928367292263e-03,-5.010775392178734577e+00,-6.412375009059011477e-01,-4.251116078418617050e+00,-7.340207525978008629e-01
5.475694444444444420e-01,1.971250000000000000e+02,6.008360050203248592e-01,1.047133990178418690e-02,7.997847563831811391e-01,5.527046882977226794e-03,-4.997823408085451113e+00,-6.344766966463053492e-01,-4.261420716799753095e+00,-7.149799872845288284e-01
5.479166666666667185e-01,1.972500000000000284e+02,5.991029025266547681e-01,1.025221086382109743e-02,7.983033230569006600e-01,5.282082301508284929e-03,-4.984842061752044806e+00,-6.277046959487028177e-01,-4.271617182663983492e+00,-6.960320743253525233e-01
5.482638888888888840e-01,1.973750000000000000e+02,5.973743125425161615e-01,1.003543515265291862e-02,7.968183681248985906e-01,5.043679699899828762e-03,-4.971831353178498780e+00,-6.209217753495859249e-01,-4.281705104301982701e+00,-6.771841772028199813e-01
5.486111111111111605e-01,1.975000000000000284e+02,5.956502452631322608e-01,9.821015210020329900e-03,7.953299293398181646e-01,4.811803106770429217e-03,-4.958791282364823694e+00,-6.141377149738699304e-01,-4.291684115920534559e+00,-6.584434593994473728e-01
5.489583333333333259e-01,1.976250000000000000e+02,5.939307108837263982e-01,9.608950197282299654e-03,7.938380445802887264e-01,4.586414063418530439e-03,-4.945721849311025764e+00,-6.073573791575351821e-01,-4.301553857642491430e+00,-6.398170843977792899e-01
5.493055555555556024e-01,1.977500000000000284e+02,5.922157195995172430e-01,9.399238821188652532e-03,7.923427518488689314e-01,4.367471623822338778e-03,-4.932623054017079234e+00,-6.005807679005686905e-01,-4.311313975506802620e+00,-6.213122156803395635e-01
5.496527777777777679e-01,1.978750000000000000e+02,5.905052816057325682e-01,9.191879788490236666e-03,7.908440892699946101e-01,4.154932354639706560e-03,-4.919494896483021407e+00,-5.938078812029905507e-01,-4.320964121468488628e+00,-6.029360167296750062e-01
5.500000000000000444e-01,1.980000000000000284e+02,5.887994070975899330e-01,8.986871805936743132e-03,7.893420950879217468e-01,3.948750335208028872e-03,-4.906337376708821196e+00,-5.870387190647828879e-01,-4.330503953398681105e+00,-5.846956510283064512e-01
5.503472222222222099e-01,1.981250000000000000e+02,5.870981062703134468e-01,8.784213580278543015e-03,7.878368076646762308e-01,3.748877157544572725e-03,-4.893150494694493702e+00,-5.802732814859540289e-01,-4.339933135084569571e+00,-5.665982820587842639e-01
5.506944444444444864e-01,1.982500000000000284e+02,5.854013893191265527e-01,8.583903818266064648e-03,7.863282654779950587e-01,3.555261926346142253e-03,-4.879934250440042476e+00,-5.735115684665067493e-01,-4.349251336229456477e+00,-5.486510733036259468e-01
5.510416666666666519e-01,1.983750000000000000e+02,5.837092664392492525e-01,8.385941226649215943e-03,7.848165071192760855e-01,3.367851258989196239e-03,-4.866688643945453308e+00,-5.667535800064329443e-01,-4.358458232452714576e+00,-5.308611882453715403e-01
5.513888888888889284e-01,1.985000000000000000e+02,5.820217478259048782e-01,8.190324512178295130e-03,7.833015712915210038e-01,3.186589285529950466e-03,-4.853413675210732414e+00,-5.599993161057363888e-01,-4.367553505289811788e+00,-5.132357903665553112e-01
